name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_id,points_last_3,points_last_5,points_avg_5,minutes_last_5,starts_last_5,goals_last_5,assists_last_5,bps_avg_5,influence_avg_5,creativity_avg_5,threat_avg_5,ict_index_avg_5,form_5,price
Gabriel Fernando de Jesus,FWD,Arsenal,2.3,0,0,9,0,31.5,2,0.06,0.44,0.38,0.32,61,1,0,4.9,1.8,2024-10-05T14:00:00Z,59,,,,,,,,False,17,0,0,0,0,7,0,97477,1,1,3,16.0,1,-1821,6898,8719,68,True,0,7,2,2.0,2.0,0.4,14.0,0.0,0.0,0.0,1.6,2.4,0.0,3.4,0.58,0.4,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,2.0,0,0,8,0,0.4,2,0.0,0.0,0.0,0.0,71,0,0,0.7,1.0,2024-10-19T16:30:00Z,10,,,,,,,,False,3,0,0,0,0,8,0,103246,0,0,2,6.0,1,1340,7657,6317,68,False,0,8,2,2.0,3.0,0.6,73.0,0.0,0.0,0.0,3.4,2.7600000000000002,6.3,6.6,1.56,0.6,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,0.7,0,0,1,0,0.3,2,0.0,0.18,0.18,0.0,81,0,0,2.3,2.0,2024-10-27T16:30:00Z,5,,,,,,,,False,12,0,0,0,0,9,0,101196,0,2,2,21.0,0,-3526,1944,5470,68,True,1,9,2,3.0,4.0,0.8,83.0,0.0,0.0,0.0,5.0,2.96,6.38,7.8,1.7,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.7,0,0,0,0,2.2,2,0.01,0.01,0.0,0.04,96,0,0,0.6,0.0,2024-11-02T12:30:00Z,19,,,,,,,,False,15,0,0,0,0,10,0,98901,0,0,1,4.0,1,-4233,2012,6245,68,False,0,10,2,2.0,3.0,0.6,78.0,0.0,0.0,0.0,5.0,3.3600000000000003,6.44,12.0,2.16,0.6,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.2,0,0,1,0,1.0,2,0.0,0.0,0.0,0.04,103,0,0,0.2,0.8,2024-11-10T16:30:00Z,9,,,,,,,,False,6,0,0,0,0,11,0,97572,0,1,1,0.0,1,-2957,1427,4384,68,False,0,11,2,2.0,4.0,0.8,94.0,0.0,0.0,0.0,4.4,1.3599999999999999,6.88,12.8,2.08,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,2.0,0,0,1,1,26.7,2,0.05,0.2,0.15,0.33,111,0,0,4.5,6.6,2024-11-23T15:00:00Z,90,,,,,,,,False,16,0,0,0,0,12,0,98145,1,0,3,12.0,1,-1577,1879,3456,68,True,1,12,2,2.0,4.0,0.8,102.0,0.0,0.0,0.0,3.8,1.1199999999999999,7.08,9.4,1.7400000000000002,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,2.0,0,0,2,0,0.7,2,0.0,0.05,0.05,0.74,129,0,0,0.7,0.0,2024-11-30T17:30:00Z,16,,,,,,,,False,19,0,0,0,0,13,0,98296,0,5,2,6.0,1,-999,1427,2426,68,False,0,13,2,3.0,4.0,0.8,133.0,1.0,0.0,0.0,2.2,2.0799999999999996,6.12,8.6,1.6600000000000001,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.8,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,,,,,,,,False,14,0,0,0,0,14,0,98244,0,0,2,0.0,0,-1117,1489,2606,68,True,0,14,2,3.0,4.0,0.8,139.0,1.0,0.0,0.0,1.0,1.8799999999999997,6.180000000000001,8.6,1.6599999999999997,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.8,0,0,5,0,0.0,2,0.0,0.0,0.0,0.0,145,0,0,0.2,2.2,2024-12-08T14:00:00Z,16,,,,,,,,False,9,0,0,0,0,15,0,97896,0,1,1,0.0,1,-1350,1265,2615,68,False,0,15,2,2.0,4.0,0.8,134.0,1.0,0.0,0.0,0.8,1.48,6.12,4.4,1.2,0.8,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.3,0,0,0,0,0.9,2,0.02,0.17,0.15,0.0,151,0,0,1.2,0.0,2024-12-14T15:00:00Z,21,,,,,,,,False,8,0,0,0,0,16,0,98617,0,0,0,13.0,1,-855,1732,2587,68,True,0,16,2,2.0,4.0,0.8,131.0,1.0,0.0,0.0,1.8,1.92,5.68,3.6,1.12,0.8,6.8
